SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0101, AZANIA, DAR ES SALAAM, 188, 113, GEOGRAPHY, 3.3684, 10,75
S0101, AZANIA, DAR ES SALAAM, 188, 131, PHYSICS, 0.9455, 23,189
S0101, AZANIA, DAR ES SALAAM, 188, 132, CHEMISTRY, 2.2727, 17,116
S0101, AZANIA, DAR ES SALAAM, 188, 133, BIOLOGY, 2.9831, 11,69
S0101, AZANIA, DAR ES SALAAM, 188, 142, ADVANCED MATHEMATICS, 1.4000, 20,158
S0101, AZANIA, DAR ES SALAAM, 188, 151, ECONOMICS, 3.0909, 13,42
S0101, AZANIA, DAR ES SALAAM, 188, 152, COMMERCE, 3.3478, 8,17
S0101, AZANIA, DAR ES SALAAM, 188, 153, ACCOUNTANCY, 3.4203, 14,30
S0103, BIHAWANA, DODOMA, 314, 112, HISTORY, 3.3529, 10,99
S0103, BIHAWANA, DODOMA, 314, 113, GEOGRAPHY, 3.2667, 6,98
S0103, BIHAWANA, DODOMA, 314, 122, ENGLISH LANGUAGE, 3.4706, 9,248
S0103, BIHAWANA, DODOMA, 314, 131, PHYSICS, 1.1136, 8,169
S0103, BIHAWANA, DODOMA, 314, 132, CHEMISTRY, 1.9115, 9,187
S0103, BIHAWANA, DODOMA, 314, 133, BIOLOGY, 2.8918, 4,87
S0103, BIHAWANA, DODOMA, 314, 134, AGRICULTURE, 1.8990, 1,5
S0104, BWIRU BOYS, MWANZA, 135, 113, GEOGRAPHY, 2.9302, 11,250
S0104, BWIRU BOYS, MWANZA, 135, 131, PHYSICS, 1.7660, 7,77
S0104, BWIRU BOYS, MWANZA, 135, 132, CHEMISTRY, 2.9681, 2,39
S0104, BWIRU BOYS, MWANZA, 135, 133, BIOLOGY, 3.6207, 1,23
S0104, BWIRU BOYS, MWANZA, 135, 142, ADVANCED MATHEMATICS, 1.9367, 7,91
S0104, BWIRU BOYS, MWANZA, 135, 151, ECONOMICS, 2.6512, 7,128
S0106, DUNG'UNYI SEMINARY, SINGIDA, 4, 112, HISTORY, 3.5000, 1,63
S0106, DUNG'UNYI SEMINARY, SINGIDA, 4, 113, GEOGRAPHY, 3.2500, 2,105
S0106, DUNG'UNYI SEMINARY, SINGIDA, 4, 121, KISWAHILI, 3.0000, 5,257
S0106, DUNG'UNYI SEMINARY, SINGIDA, 4, 122, ENGLISH LANGUAGE, 3.5000, 3,238
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 112, HISTORY, 2.9091, 16,302
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 113, GEOGRAPHY, 3.0698, 9,176
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 121, KISWAHILI, 3.5000, 5,105
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 122, ENGLISH LANGUAGE, 3.7500, 9,126
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 131, PHYSICS, 1.7069, 5,87
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 132, CHEMISTRY, 2.1563, 5,142
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 133, BIOLOGY, 2.9796, 4,70
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 142, ADVANCED MATHEMATICS, 1.7586, 7,108
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 100, 151, ECONOMICS, 2.5714, 5,141
S0108, IFUNDA TECHNICAL, IRINGA, 313, 113, GEOGRAPHY, 2.8733, 18,271
S0108, IFUNDA TECHNICAL, IRINGA, 313, 131, PHYSICS, 1.8889, 5,63
S0108, IFUNDA TECHNICAL, IRINGA, 313, 132, CHEMISTRY, 2.2969, 8,112
S0108, IFUNDA TECHNICAL, IRINGA, 313, 133, BIOLOGY, 2.8394, 6,94
S0108, IFUNDA TECHNICAL, IRINGA, 313, 142, ADVANCED MATHEMATICS, 1.5118, 5,146
S0109, IHUNGO, KAGERA, 370, 112, HISTORY, 3.0444, 14,239
S0109, IHUNGO, KAGERA, 370, 113, GEOGRAPHY, 3.0450, 10,185
S0109, IHUNGO, KAGERA, 370, 131, PHYSICS, 1.4323, 5,126
S0109, IHUNGO, KAGERA, 370, 132, CHEMISTRY, 2.3546, 7,101
S0109, IHUNGO, KAGERA, 370, 133, BIOLOGY, 2.9905, 5,66
S0109, IHUNGO, KAGERA, 370, 142, ADVANCED MATHEMATICS, 1.2231, 8,181
S0109, IHUNGO, KAGERA, 370, 151, ECONOMICS, 2.3053, 7,183
S0110, ILBORU, ARUSHA, 143, 112, HISTORY, 3.5200, 4,56
S0110, ILBORU, ARUSHA, 143, 113, GEOGRAPHY, 3.2000, 6,123
S0110, ILBORU, ARUSHA, 143, 122, ENGLISH LANGUAGE, 4.4000, 2,3
S0110, ILBORU, ARUSHA, 143, 131, PHYSICS, 2.9576, 3,15
S0110, ILBORU, ARUSHA, 143, 132, CHEMISTRY, 3.6949, 2,8
S0110, ILBORU, ARUSHA, 143, 133, BIOLOGY, 3.9275, 1,5
S0110, ILBORU, ARUSHA, 143, 142, ADVANCED MATHEMATICS, 3.6531, 2,6
S0111, ITAGA SEMINARY, TABORA, 4, 113, GEOGRAPHY, 3.0000, 7,213
S0111, ITAGA SEMINARY, TABORA, 4, 131, PHYSICS, 2.0000, 3,56
S0111, ITAGA SEMINARY, TABORA, 4, 132, CHEMISTRY, 2.0000, 7,176
S0111, ITAGA SEMINARY, TABORA, 4, 133, BIOLOGY, 1.6667, 7,214
S0111, ITAGA SEMINARY, TABORA, 4, 142, ADVANCED MATHEMATICS, 1.0000, 7,207
S0112, IYUNGA TECHNICAL, MBEYA, 191, 131, PHYSICS, 1.9430, 2,60
S0112, IYUNGA TECHNICAL, MBEYA, 191, 132, CHEMISTRY, 2.2073, 8,130
