SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0101, AZANIA, DAR ES SALAAM, 279, 011, CIVICS, 3.8248, 61,621
S0101, AZANIA, DAR ES SALAAM, 279, 012, HISTORY, 3.6314, 50,570
S0101, AZANIA, DAR ES SALAAM, 279, 013, GEOGRAPHY, 4.1325, 89,1457
S0101, AZANIA, DAR ES SALAAM, 279, 014, BIBLE KNOWLEDGE, 3.7500, 10,133
S0101, AZANIA, DAR ES SALAAM, 279, 015, ELIMU YA DINI YA KIISLAMU, 4.2340, 42,307
S0101, AZANIA, DAR ES SALAAM, 279, 016, FINE ART, 3.2941, 1,11
S0101, AZANIA, DAR ES SALAAM, 279, 018, PHYSICAL EDUCATION, 4.1500, 2,10
S0101, AZANIA, DAR ES SALAAM, 279, 021, KISWAHILI, 3.6898, 97,1644
S0101, AZANIA, DAR ES SALAAM, 279, 022, ENGLISH LANGUAGE, 3.1446, 71,595
S0101, AZANIA, DAR ES SALAAM, 279, 023, FRENCH LANGUAGE, 3.0000, 5,25
S0101, AZANIA, DAR ES SALAAM, 279, 031, PHYSICS, 4.2023, 100,1052
S0101, AZANIA, DAR ES SALAAM, 279, 032, CHEMISTRY, 3.8206, 99,974
S0101, AZANIA, DAR ES SALAAM, 279, 033, BIOLOGY, 3.4247, 66,744
S0101, AZANIA, DAR ES SALAAM, 279, 036, INFORMATION & COMPUTER STUDIES, 4.0455, 20,69
S0101, AZANIA, DAR ES SALAAM, 279, 041, BASIC MATHEMATICS, 3.9127, 30,247
S0101, AZANIA, DAR ES SALAAM, 279, 061, COMMERCE, 4.7612, 137,617
S0101, AZANIA, DAR ES SALAAM, 279, 062, BOOK-KEEPING, 4.6212, 133,603
S0104, BWIRU BOYS, MWANZA, 123, 011, CIVICS, 3.4766, 25,329
S0104, BWIRU BOYS, MWANZA, 123, 013, GEOGRAPHY, 3.9286, 69,944
S0104, BWIRU BOYS, MWANZA, 123, 021, KISWAHILI, 3.5469, 71,1124
S0104, BWIRU BOYS, MWANZA, 123, 022, ENGLISH LANGUAGE, 2.6172, 24,275
S0104, BWIRU BOYS, MWANZA, 123, 032, CHEMISTRY, 2.9219, 17,144
S0104, BWIRU BOYS, MWANZA, 123, 033, BIOLOGY, 1.8812, 6,52
S0104, BWIRU BOYS, MWANZA, 123, 035, ENGINEERING SCIENCE, 3.4688, 1,3
S0104, BWIRU BOYS, MWANZA, 123, 041, BASIC MATHEMATICS, 3.5234, 15,132
S0104, BWIRU BOYS, MWANZA, 123, 071, BUILDING CONSTRUCTION, 4.2000, 1,4
S0104, BWIRU BOYS, MWANZA, 123, 072, ARCHTECTURAL DRAUGHTING, 4.7750, 1,9
S0104, BWIRU BOYS, MWANZA, 123, 074, CARPENTRY & JOINERY, 4.4375, 1,5
S0104, BWIRU BOYS, MWANZA, 123, 075, BRICKWORK & MASONRY, 4.0833, 1,6
S0104, BWIRU BOYS, MWANZA, 123, 082, ELECTRICAL ENGINEERING SCIENCE, 4.5652, 1,12
S0104, BWIRU BOYS, MWANZA, 123, 084, ELECTRICAL DRAUGHTING, 3.4186, 1,2
S0104, BWIRU BOYS, MWANZA, 123, 092, WORKSHOP TECHNOLOGY, 4.1707, 1,3
S0104, BWIRU BOYS, MWANZA, 123, 093, MOTOR VEHICLE MECHANICS, 4.4667, 1,4
S0104, BWIRU BOYS, MWANZA, 123, 094, WELDING & METAL FABRICATION, 4.5000, 1,6
S0104, BWIRU BOYS, MWANZA, 123, 095, FITTING & TURNING, 4.3571, 1,6
S0104, BWIRU BOYS, MWANZA, 123, 097, MECHANICAL DRAUGHTING, 3.8000, 1,4
S0105, CHIDYA, MTWARA, 85, 011, CIVICS, 3.6064, 5,415
S0105, CHIDYA, MTWARA, 85, 012, HISTORY, 3.0957, 3,200
S0105, CHIDYA, MTWARA, 85, 013, GEOGRAPHY, 3.7553, 6,648
S0105, CHIDYA, MTWARA, 85, 015, ELIMU YA DINI YA KIISLAMU, 4.2353, 14,311
S0105, CHIDYA, MTWARA, 85, 021, KISWAHILI, 3.0851, 7,311
S0105, CHIDYA, MTWARA, 85, 022, ENGLISH LANGUAGE, 3.4149, 8,833
S0105, CHIDYA, MTWARA, 85, 031, PHYSICS, 3.6222, 4,308
S0105, CHIDYA, MTWARA, 85, 032, CHEMISTRY, 3.0444, 6,203
S0105, CHIDYA, MTWARA, 85, 033, BIOLOGY, 3.0106, 4,416
S0105, CHIDYA, MTWARA, 85, 041, BASIC MATHEMATICS, 4.1702, 4,347
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 011, CIVICS, 3.3636, 5,268
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 012, HISTORY, 2.6364, 1,63
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 013, GEOGRAPHY, 3.2727, 3,247
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 014, BIBLE KNOWLEDGE, 3.2121, 3,53
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 021, KISWAHILI, 3.0606, 6,291
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 022, ENGLISH LANGUAGE, 2.6364, 6,285
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 031, PHYSICS, 3.4545, 2,229
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 032, CHEMISTRY, 3.2424, 4,293
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 033, BIOLOGY, 2.2727, 3,130
S0106, DUNG'UNYI SEMINARY, SINGIDA, 33, 041, BASIC MATHEMATICS, 3.8485, 4,220
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 011, CIVICS, 3.3194, 19,237
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 012, HISTORY, 3.0139, 17,163
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 013, GEOGRAPHY, 3.4306, 23,345
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 014, BIBLE KNOWLEDGE, 3.5833, 10,105
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 021, KISWAHILI, 3.2639, 31,537
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 022, ENGLISH LANGUAGE, 2.4444, 18,209
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 024, LITERATURE IN ENGLISH, 1.7500, 1,4
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 031, PHYSICS, 3.4138, 13,210
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 032, CHEMISTRY, 2.9298, 10,148
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 033, BIOLOGY, 2.6806, 21,246
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 72, 041, BASIC MATHEMATICS, 3.8611, 12,226
S0108, IFUNDA TECHNICAL, IRINGA, 138, 011, CIVICS, 3.6761, 25,463
S0108, IFUNDA TECHNICAL, IRINGA, 138, 013, GEOGRAPHY, 3.6429, 23,501
S0108, IFUNDA TECHNICAL, IRINGA, 138, 021, KISWAHILI, 3.2676, 43,545
S0108, IFUNDA TECHNICAL, IRINGA, 138, 022, ENGLISH LANGUAGE, 3.0563, 22,527
S0108, IFUNDA TECHNICAL, IRINGA, 138, 032, CHEMISTRY, 3.4296, 12,424
S0108, IFUNDA TECHNICAL, IRINGA, 138, 033, BIOLOGY, 2.4386, 8,162
S0108, IFUNDA TECHNICAL, IRINGA, 138, 035, ENGINEERING SCIENCE, 3.5775, 1,6
S0108, IFUNDA TECHNICAL, IRINGA, 138, 041, BASIC MATHEMATICS, 3.8944, 11,238
S0108, IFUNDA TECHNICAL, IRINGA, 138, 071, BUILDING CONSTRUCTION, 4.3600, 1,5
S0108, IFUNDA TECHNICAL, IRINGA, 138, 072, ARCHTECTURAL DRAUGHTING, 4.6000, 1,7
S0108, IFUNDA TECHNICAL, IRINGA, 138, 075, BRICKWORK & MASONRY, 4.1613, 1,7
S0108, IFUNDA TECHNICAL, IRINGA, 138, 077, PLUMBING, 4.3889, 1,1
S0108, IFUNDA TECHNICAL, IRINGA, 138, 081, ELECTRICAL INSTALLATION, 4.3913, 1,9
S0108, IFUNDA TECHNICAL, IRINGA, 138, 082, ELECTRICAL ENGINEERING SCIENCE, 4.3333, 1,6
S0108, IFUNDA TECHNICAL, IRINGA, 138, 083, RADIO & TV SERVICING, 4.0000, 1,6
S0108, IFUNDA TECHNICAL, IRINGA, 138, 084, ELECTRICAL DRAUGHTING, 3.9286, 1,7
S0108, IFUNDA TECHNICAL, IRINGA, 138, 092, WORKSHOP TECHNOLOGY, 4.2600, 1,4
S0108, IFUNDA TECHNICAL, IRINGA, 138, 093, MOTOR VEHICLE MECHANICS, 4.4737, 1,5
S0108, IFUNDA TECHNICAL, IRINGA, 138, 094, WELDING & METAL FABRICATION, 4.1176, 1,4
S0108, IFUNDA TECHNICAL, IRINGA, 138, 095, FITTING & TURNING, 4.0714, 1,2
S0108, IFUNDA TECHNICAL, IRINGA, 138, 097, MECHANICAL DRAUGHTING, 4.4600, 1,7
S0110, ILBORU, ARUSHA, 107, 011, CIVICS, 3.1589, 11,149
S0110, ILBORU, ARUSHA, 107, 012, HISTORY, 2.4206, 1,37
S0110, ILBORU, ARUSHA, 107, 013, GEOGRAPHY, 2.8131, 4,64
S0110, ILBORU, ARUSHA, 107, 021, KISWAHILI, 2.4486, 3,29
S0110, ILBORU, ARUSHA, 107, 022, ENGLISH LANGUAGE, 2.0748, 9,118
S0110, ILBORU, ARUSHA, 107, 031, PHYSICS, 3.1717, 5,127
S0110, ILBORU, ARUSHA, 107, 032, CHEMISTRY, 2.5960, 2,62
S0110, ILBORU, ARUSHA, 107, 033, BIOLOGY, 1.9439, 3,62
S0110, ILBORU, ARUSHA, 107, 041, BASIC MATHEMATICS, 3.1776, 4,66
S0110, ILBORU, ARUSHA, 107, 042, ADDITIONAL MATHEMATICS, 2.1111, 1,2
S0111, ITAGA SEMINARY, TABORA, 53, 011, CIVICS, 3.1509, 6,143
S0111, ITAGA SEMINARY, TABORA, 53, 012, HISTORY, 2.5283, 2,53
S0111, ITAGA SEMINARY, TABORA, 53, 013, GEOGRAPHY, 2.9434, 3,99
S0111, ITAGA SEMINARY, TABORA, 53, 014, BIBLE KNOWLEDGE, 3.2642, 1,61
S0111, ITAGA SEMINARY, TABORA, 53, 021, KISWAHILI, 3.0755, 10,304
S0111, ITAGA SEMINARY, TABORA, 53, 022, ENGLISH LANGUAGE, 2.3962, 7,191
S0111, ITAGA SEMINARY, TABORA, 53, 031, PHYSICS, 3.1818, 4,130
S0111, ITAGA SEMINARY, TABORA, 53, 032, CHEMISTRY, 3.0000, 4,171
S0111, ITAGA SEMINARY, TABORA, 53, 033, BIOLOGY, 2.0000, 2,70
S0111, ITAGA SEMINARY, TABORA, 53, 041, BASIC MATHEMATICS, 3.7170, 6,183
S0112, IYUNGA TECHNICAL, MBEYA, 104, 011, CIVICS, 3.6262, 17,427
S0112, IYUNGA TECHNICAL, MBEYA, 104, 013, GEOGRAPHY, 3.7500, 28,639
S0112, IYUNGA TECHNICAL, MBEYA, 104, 021, KISWAHILI, 3.3084, 27,618
S0112, IYUNGA TECHNICAL, MBEYA, 104, 022, ENGLISH LANGUAGE, 2.8879, 18,426
S0112, IYUNGA TECHNICAL, MBEYA, 104, 032, CHEMISTRY, 3.4299, 16,425
S0112, IYUNGA TECHNICAL, MBEYA, 104, 033, BIOLOGY, 2.1474, 7,96
S0112, IYUNGA TECHNICAL, MBEYA, 104, 035, ENGINEERING SCIENCE, 3.2710, 1,2
S0112, IYUNGA TECHNICAL, MBEYA, 104, 041, BASIC MATHEMATICS, 3.3738, 6,99
S0112, IYUNGA TECHNICAL, MBEYA, 104, 071, BUILDING CONSTRUCTION, 4.0833, 1,3
S0112, IYUNGA TECHNICAL, MBEYA, 104, 072, ARCHTECTURAL DRAUGHTING, 4.1667, 1,2
